"id","DateTime","DateTimeDigitized","DateTimeOriginal","ExifVersion","ExposureBias","FNumber","Flash","FocalLength","GPSAltitude","GPSAltitudeRef","GPSDateStamp","GPSInfo","GPSLatitude","GPSLatitudeRef","GPSLongitude","GPSLongitudeRef","GPSProcessingMethod","GPSTimeStamp","ISO","brightnessValue","compressedBitsPerPixel","contrast","digitalZoomRatio","exposureProgram","exposureTime","focalLengthIn35mmFilm","gPanoCaptureSoftware","gPanoCroppedAreaImageHeightPixels","gPanoCroppedAreaImageWidthPixels","gPanoCroppedAreaLeftPixels","gPanoCroppedAreaTopPixels","gPanoFullPanoHeightPixels","gPanoFullPanoWidthPixels","gPanoLargestValidInteriorRectHeight","gPanoLargestValidInteriorRectLeft","gPanoLargestValidInteriorRectTop","gPanoLargestValidInteriorRectWidth","gPanoNorthPosInX","gPanoProjectionType","gPanoStitchingSoftware","gPanoUsePanoramaViewer","lightSource","make","maxApertureValue","meteringMode","model","pixelXDimension","pixelYDimension","resolutionUnit","saturation","sharpness","whiteBalance","xResolution","yResolution","Orientation"
"46","2014-01-12 11:42:06","2014-01-12 11:42:06","2014-01-12 11:42:06","0220","0","2","0","3.82","","","","918","","","","","","","125","1.736932","10502440/4085760 (2.57)","0","0","2","0.03","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"47","2014-01-12 11:15:08","","","","","","","","2400.899","0","2014-01-12 08:00:00","194","26.874858833333334","N","100.23121641666667","E","","","","","","","","","","","","","","","","","","","","","","","","","","","HTC","","","HTC One","4398","1068","","","","","","","0"
"48","2014-01-11 07:53:21","2014-01-11 07:53:21","2014-01-11 07:53:21","0220","0","2","0","3.82","2392.399","0","2014-01-10 08:00:00","918","26.878438944444444","N","100.23223875000001","E","ASCII","","200","0.643823","6370016/4085760 (1.559)","0","0","2","0.04","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"49","2014-01-11 07:47:52","","","","","","","","2369.699","0","2014-01-10 08:00:00","194","26.878971083333333","N","100.23104094444444","E","","","","","","","","","","","","","","","","","","","","","","","","","","","HTC","","","HTC One","3712","1074","","","","","","","0"
"50","2014-01-12 11:06:08","2014-01-12 11:06:08","2014-01-12 11:06:07","0220","0","2","0","3.82","","","","918","","","","","","","125","5.777574","7897080/4085760 (1.933)","0","0","2","0.001822","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"51","2014-01-12 13:26:38","2014-01-12 13:26:38","2014-01-12 13:26:38","0220","0","2","0","3.82","2316.6","0","2014-01-12 08:00:00","918","26.87262913888889","N","100.23391722222222","E","ASCII","","100","6.346142","7138384/4085760 (1.747)","0","0","2","0.001536","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"52","2013-09-15 15:33:20","2013-09-15 05:56:30","2013-09-15 05:56:30","0220","0","2","0","3.82","916.099","0","2013-09-14 08:00:00","960","39.8440895","N","115.64006041666667","E","ASCII","","100","5.321894","5626912/4085760 (1.377)","0","0","2","0.003125","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"53","2013-09-15 15:33:16","2013-09-14 17:21:35","2013-09-14 17:21:35","0220","0","2","0","3.82","1931.8","0","2013-09-14 08:00:00","960","39.85845947222222","N","115.6145935","E","ASCII","","125","7.65893","7954488/4085760 (1.947)","0","0","2","0.000494","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"54","2013-09-15 15:33:20","2013-09-15 06:14:22","2013-09-15 06:14:22","0220","0","2","0","3.82","933.299","0","2013-09-14 08:00:00","960","39.844223","N","115.63964841666667","E","ASCII","","125","8.584929","7075856/4085760 (1.732)","0","0","2","0.00026","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"55","2013-09-15 15:33:17","2013-09-14 17:53:32","2013-09-14 17:53:32","0220","0","2","0","3.82","","","","","","","","","","","125","3.584929","11068976/4085760 (2.709)","0","0","2","0.008333","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
